features,label
"[[-1.722628116607666, -0.7499836683273315, 10.588356971740723, -0.67138671875, -1.40380859375, 25.5126953125], [-1.8040310144424438, -0.035913024097681046, 10.471639633178711, 1.953125, 0.244140625, 20.69091796875], [-1.8183962106704712, 0.28131869435310364, 10.272322654724121, 0.732421875, 4.39453125, 15.13671875], [-1.778891921043396, 0.2256535142660141, 9.833584785461426, -1.03759765625, 7.8125, 8.6669921875], [-1.6837223768234253, -0.27473464608192444, 9.440337181091309, 0.54931640625, 8.48388671875, 3.2958984375], [-1.6178817749023438, -1.0127472877502441, 9.330802917480469, 3.96728515625, 6.4697265625, 1.64794921875], [-1.5969325304031372, -1.698686122894287, 9.567230224609375, 4.7607421875, 3.173828125, 4.33349609375], [-1.535880446434021, -2.094327926635742, 9.9772367477417, 6.7138671875, 0.67138671875, 8.97216796875], [-1.4867992401123047, -2.1511902809143066, 10.396222114562988, 6.8359375, -1.28173828125, 12.939453125], [-1.446696400642395, -2.057217836380005, 10.918756484985352, -1.46484375, -0.91552734375, 16.66259765625], [-1.4047977924346924, -1.777694821357727, 11.198280334472656, -12.02392578125, 4.0283203125, 20.99609375], [-1.4293384552001953, -1.3652935028076172, 10.959458351135254, -18.798828125, 8.9111328125, 24.35302734375], [-1.5161281824111938, -0.9163807034492493, 10.493785858154297, -18.49365234375, 11.16943359375, 26.91650390625], [-1.647210717201233, -0.39384618401527405, 9.913191795349121, -14.2822265625, 12.14599609375, 26.9775390625], [-1.775899052619934, -0.05147533491253853, 9.346963882446289, -8.72802734375, 11.71875, 20.751953125], [-1.8596961498260498, -0.040701430290937424, 9.039907455444336, 5.37109375, 5.92041015625, 17.9443359375], [-1.8728642463684082, -0.32381579279899597, 9.042900085449219, 7.4462890625, 3.173828125, 16.90673828125], [-1.6298527717590332, -1.2054805755615234, 9.624092102050781, 3.173828125, 1.220703125, 18.37158203125], [-1.6298527717590332, -1.2054805755615234, 9.624092102050781, -4.8828125, -1.40380859375, 19.8974609375], [-1.4718354940414429, -1.853710651397705, 10.74218463897705, -10.498046875, -0.732421875, 23.62060546875], [-1.3784615993499756, -1.8315643072128296, 11.092934608459473, -15.380859375, 3.0517578125, 27.7099609375], [-1.337161660194397, -1.5017629861831665, 11.158177375793457, -21.30126953125, 4.82177734375, 32.28759765625], [-1.3180080652236938, -1.0504560470581055, 11.128249168395996, -23.5595703125, 6.04248046875, 35.33935546875], [-1.3150153160095215, -0.6554127335548401, 11.07258415222168, -18.06640625, 7.38525390625, 37.9638671875], [-1.392826795578003, -0.18076223134994507, 11.014524459838867, -10.8642578125, 8.85009765625, 39.85595703125], [-1.4772224426269531, 0.40521863102912903, 10.64282512664795, -7.50732421875, 12.75634765625, 39.61181640625], [-1.6178817749023438, 0.6685808300971985, 9.975440979003906, -5.2490234375, 14.58740234375, 36.68212890625], [-1.7980455160140991, 0.4668693244457245, 9.474454879760742, -0.54931640625, 12.75634765625, 34.0576171875], [-1.9297266006469727, 0.2059013396501541, 9.12968921661377, -2.38037109375, 11.29150390625, 33.26416015625], [-2.0021512508392334, 0.07062894850969315, 8.777143478393555, -4.82177734375, 9.8876953125, 32.77587890625], [-1.9961656332015991, -0.10235211998224258, 8.495824813842773, -6.591796875, 7.26318359375, 31.494140625], [-1.9901801347732544, -0.39863458275794983, 8.357559204101562, -11.29150390625, 4.0283203125, 31.494140625], [-1.9590555429458618, -0.6955155730247498, 8.415618896484375, -14.5263671875, -0.9765625, 32.77587890625], [-1.8812439441680908, -0.8756792545318604, 8.797493934631348, -13.00048828125, -7.26318359375, 36.31591796875], [-1.799242615699768, -0.7691373229026794, 9.519944190979004, -12.451171875, -9.3994140625, 46.0205078125], [-1.7028759717941284, -0.31124621629714966, 10.226832389831543, -6.40869140625, -4.21142578125, 46.93603515625], [-1.5849615335464478, 0.14065934717655182, 10.286687850952148, -2.50244140625, 0.48828125, 47.2412109375], [-1.5849615335464478, 0.14065934717655182, 10.286687850952148, -1.8310546875, 2.0751953125, 46.2646484375], [-1.3760673999786377, 0.5386953949928284, 9.625887870788574, -1.46484375, 0.244140625, 43.51806640625], [-1.4089876413345337, 0.42856210470199585, 9.50617790222168, 0.06103515625, -2.13623046875, 41.259765625], [-1.3108254671096802, 0.28730419278144836, 9.48762321472168, 1.64794921875, -5.9814453125, 37.65869140625], [-1.2018892765045166, -0.013766659423708916, 9.724648475646973, -0.48828125, -8.97216796875, 36.7431640625], [-1.18094003200531, -0.20111294090747833, 10.186131477355957, -7.9345703125, -9.70458984375, 37.53662109375], [-1.2270283699035645, -0.32680854201316833, 10.460267066955566, -14.46533203125, -6.2255859375, 38.9404296875], [-1.2090718746185303, -0.4297592043876648, 10.399214744567871, -16.29638671875, -3.173828125, 40.34423828125], [-1.213860273361206, -0.5692214369773865, 10.339958190917969, -16.41845703125, 0.0, 43.212890625], [-1.3323732614517212, -0.5566518902778625, 10.28010368347168, -12.3291015625, 2.5634765625, 46.9970703125], [-1.4047977924346924, -0.2082955539226532, 10.051457405090332, -10.986328125, 4.638671875, 49.49951171875], [-1.3227964639663696, 0.23582886159420013, 9.65222454071045, -13.0615234375, 3.23486328125, 48.9501953125], [-1.182137131690979, 0.45429977774620056, 9.686341285705566, -18.61572265625, -0.9765625, 48.27880859375], [-1.22642982006073, 0.6488286852836609, 10.055048942565918, -22.4609375, -0.48828125, 49.13330078125], [-1.3287819623947144, 0.9367313981056213, 10.044873237609863, -20.20263671875, 3.35693359375, 47.91259765625], [-1.3120225667953491, 0.8852560520172119, 9.70429801940918, -12.5732421875, 5.7373046875, 44.7998046875], [-1.2156559228897095, 0.545877993106842, 9.327211380004883, -6.7138671875, 6.53076171875, 40.6494140625], [-1.490989089012146, 0.2861070930957794, 8.49402904510498, -6.7138671875, 6.53076171875, 40.6494140625], [-0.921169102191925, -0.005386953707784414, 8.38808536529541, -0.30517578125, -15.80810546875, 38.818359375], [-0.43275195360183716, -1.391629695892334, 10.805032730102539, -6.8359375, -10.1318359375, 47.119140625], [-0.43275195360183716, -1.391629695892334, 10.805032730102539, -8.30078125, -6.4697265625, 50.96435546875], [-0.821809709072113, -0.3196259140968323, 11.074379920959473, -14.892578125, -4.21142578125, 53.03955078125], [-1.0127472877502441, 0.2693476974964142, 11.14500904083252, -24.4140625, 0.67138671875, 54.19921875], [-1.3503297567367554, 0.8493430614471436, 10.812214851379395, -28.25927734375, 4.5166015625, 52.30712890625], [-1.3623007535934448, 1.335964560508728, 10.126874923706055, -19.71435546875, 6.28662109375, 47.42431640625], [-1.1522095203399658, 1.3754688501358032, 9.560646057128906, -10.8642578125, 6.16455078125, 41.19873046875], [-1.337161660194397, 0.838569164276123, 9.263765335083008, -6.16455078125, 5.9814453125, 37.78076171875], [-1.2898762226104736, 0.5345055460929871, 9.012373924255371, 5.2490234375, 0.79345703125, 36.19384765625], [-0.9738415479660034, 0.2017114907503128, 9.384073257446289, 1.77001953125, -5.9814453125, 34.24072265625], [-0.9115923047065735, -0.2974795699119568, 10.046669006347656, -5.4931640625, -6.28662109375, 36.62109375], [-0.8427590131759644, -0.17178396880626678, 10.293272018432617, -12.5732421875, -5.31005859375, 39.4287109375], [-0.7308300733566284, 0.13287819921970367, 10.366294860839844, -20.1416015625, -4.39453125, 39.24560546875], [-0.706289529800415, 0.262763649225235, 10.372879028320312, -26.0009765625, -2.99072265625, 38.9404296875], [-0.8086416125297546, 0.41718965768814087, 10.145429611206055, -27.099609375, -0.48828125, 38.330078125], [-0.9295487999916077, 0.3968389332294464, 9.744400978088379, -22.5830078125, 0.1220703125, 36.2548828125], [-1.1342530250549316, 0.06464344263076782, 9.606135368347168, -10.6201171875, -3.41796875, 34.66796875], [-1.1001356840133667, -0.23942017555236816, 9.967659950256348, 2.38037109375, -6.53076171875, 38.2080078125], [-0.9690531492233276, -0.12689268589019775, 10.377068519592285, 2.38037109375, -6.53076171875, 38.2080078125], [-0.9403226971626282, 0.28550854325294495, 10.399214744567871, 7.01904296875, -5.0048828125, 35.82763671875], [-0.7679402232170105, 0.4554968774318695, 10.664971351623535, -0.42724609375, -7.568359375, 37.841796875], [-0.7679402232170105, 0.4554968774318695, 10.664971351623535, -12.26806640625, -8.056640625, 40.6494140625], [-0.9415197968482971, 1.4975731372833252, 11.065402030944824, -18.85986328125, -6.77490234375, 38.9404296875], [-0.8667010068893433, 1.6525976657867432, 11.103110313415527, -24.47509765625, -2.86865234375, 36.1328125], [-1.0648212432861328, 1.4287399053573608, 10.841544151306152, -19.59228515625, 2.13623046875, 33.14208984375], [-0.9888052940368652, 1.1091139316558838, 10.3734769821167, -11.65771484375, 5.43212890625, 30.8837890625], [-0.8265981078147888, 0.4944026470184326, 10.096946716308594, -6.4697265625, 6.9580078125, 29.1748046875], [-0.9684545993804932, -0.26396074891090393, 10.065223693847656, 0.54931640625, 7.62939453125, 30.45654296875], [-1.2300211191177368, -0.5823895931243896, 9.995792388916016, 13.671875, 7.8125, 33.02001953125], [-0.970848798751831, -0.4100070297718048, 10.01075553894043, 17.15087890625, 5.67626953125, 34.5458984375], [-0.7912836670875549, -0.05746084079146385, 10.145429611206055, 6.28662109375, 4.94384765625, 36.0107421875], [-0.7930793166160583, 0.44532153010368347, 10.0580415725708, -3.662109375, 4.33349609375, 37.17041015625], [-0.9097966551780701, 0.706289529800415, 9.801861763000488, -15.0146484375, 1.77001953125, 36.31591796875], [-0.9762357473373413, 0.7206547260284424, 9.759963035583496, -15.5029296875, -2.0751953125, 38.4521484375], [-1.004966139793396, 0.8864531517028809, 10.040084838867188, -15.44189453125, -3.5400390625, 41.8701171875], [-1.2563573122024536, 1.1324573755264282, 10.102932929992676, -11.474609375, -2.197265625, 41.68701171875], [-0.7972691655158997, 1.2084733247756958, 10.106523513793945, -6.7138671875, -0.54931640625, 39.36767578125], [-0.6135141849517822, 0.8469488620758057, 10.165780067443848, -9.46044921875, 4.57763671875, 37.109375], [-1.1378443241119385, 0.40521863102912903, 10.023923873901367, -9.46044921875, 4.57763671875, 37.109375], [-0.9624691009521484, 0.19572599232196808, 10.468647003173828, 14.6484375, 2.685546875, 35.82763671875], [-0.9624691009521484, 0.19572599232196808, 10.468647003173828, 5.859375, 7.75146484375, 41.748046875], [-0.9594763517379761, -0.2555810213088989, 9.995193481445312, -0.30517578125, 5.67626953125, 46.69189453125], [-0.7398083209991455, 0.5015852451324463, 10.02571964263916, -0.8544921875, -1.15966796875, 49.560546875], [-0.8583213090896606, 1.1204863786697388, 10.613495826721191, -10.68115234375, 0.67138671875, 50.96435546875]]",left
"[[-3.287837505340576, 2.782062292098999, 9.527127265930176, -2.0751953125, -1.15966796875, 10.55908203125], [-3.2381577491760254, 2.7718870639801025, 9.458892822265625, -3.60107421875, -0.3662109375, 6.591796875], [-3.0526070594787598, 2.5306711196899414, 9.313444137573242, -2.3193359375, -0.18310546875, 4.0283203125], [-2.848501443862915, 2.2218191623687744, 9.150040626525879, 0.3662109375, -1.953125, 3.84521484375], [-2.690484046936035, 2.008735179901123, 9.099761962890625, 1.03759765625, -3.60107421875, 7.75146484375], [-2.522291421890259, 1.844732403755188, 9.169194221496582, 1.03759765625, -3.60107421875, 7.75146484375], [-2.3145945072174072, 1.8273744583129883, 9.2033109664917, 7.2021484375, -2.86865234375, 13.18359375], [-2.137423515319824, 2.118269920349121, 9.314641952514648, 4.7607421875, -2.44140625, 15.2587890625], [-2.137423515319824, 2.118269920349121, 9.314641952514648, 2.13623046875, -2.197265625, 17.7001953125], [-2.8125884532928467, 2.830544948577881, 9.636063575744629, -1.8310546875, -2.50244140625, 17.822265625], [-3.3237504959106445, 2.980781078338623, 9.740211486816406, 2.685546875, -2.5634765625, 16.6015625], [-3.5428199768066406, 2.827552318572998, 9.272144317626953, 6.2255859375, -3.47900390625, 17.4560546875], [-3.265691041946411, 2.653373956680298, 8.76337718963623, 1.5869140625, -9.3994140625, 19.04296875], [-2.934692621231079, 2.5929205417633057, 8.872312545776367, -2.44140625, -14.0380859375, 19.34814453125], [-2.6455929279327393, 2.519298791885376, 9.279327392578125, -4.21142578125, -13.916015625, 18.1884765625], [-2.410362482070923, 2.3517045974731445, 9.635464668273926, 3.41796875, -13.7939453125, 18.00537109375], [-2.1996726989746094, 2.360682964324951, 9.990405082702637, 10.19287109375, -13.85498046875, 18.98193359375], [-1.935113549232483, 2.495356798171997, 10.445303916931152, 8.7890625, -11.29150390625, 19.53125], [-1.731606364250183, 2.584540843963623, 10.78348445892334, 9.58251953125, -6.04248046875, 20.3857421875], [-1.6621745824813843, 2.700061082839966, 10.736199378967285, 7.14111328125, 1.28173828125, 21.728515625], [-1.7836803197860718, 2.8987796306610107, 10.323199272155762, -0.30517578125, 7.62939453125, 24.35302734375], [-2.050035238265991, 3.2172086238861084, 9.8599214553833, -11.8408203125, 10.498046875, 26.79443359375], [-2.3774423599243164, 3.5212721824645996, 9.572616577148438, -16.05224609375, 9.94873046875, 27.34375], [-2.6372132301330566, 3.8103721141815186, 9.35654067993164, -13.97705078125, 7.8125, 25.32958984375], [-2.78086519241333, 3.9420530796051025, 9.106346130371094, -13.97705078125, 7.8125, 25.32958984375], [-2.8383262157440186, 3.7690720558166504, 8.929773330688477, -1.0986328125, -2.685546875, 7.87353515625], [-2.810194253921509, 3.4135329723358154, 9.31045150756836, -2.25830078125, -4.57763671875, 6.103515625], [-2.5749640464782715, 2.827552318572998, 9.600150108337402, -5.06591796875, -4.638671875, 6.591796875], [-2.204461097717285, 2.8221652507781982, 9.868300437927246, -6.40869140625, -3.0517578125, 7.62939453125], [-1.876455545425415, 2.828150749206543, 10.023923873901367, -5.126953125, -0.732421875, 9.21630859375], [-1.6543933153152466, 2.8856115341186523, 10.105326652526855, -5.06591796875, 2.25830078125, 11.41357421875], [-1.7118542194366455, 2.9257144927978516, 10.178948402404785, -5.37109375, 5.43212890625, 13.61083984375], [-2.0805611610412598, 3.087921619415283, 10.096348762512207, -5.37109375, 9.27734375, 15.68603515625], [-2.516904592514038, 3.2974143028259277, 9.81143856048584, -9.521484375, 12.39013671875, 15.07568359375], [-2.8377275466918945, 3.357867956161499, 9.475052833557129, -10.92529296875, 13.7939453125, 11.77978515625], [-2.9227216243743896, 3.2333693504333496, 9.134477615356445, -11.53564453125, 14.2822265625, 6.65283203125], [-2.807201385498047, 2.872443437576294, 8.81784439086914, -6.77490234375, 13.427734375, 2.25830078125], [-2.667739152908325, 2.495356798171997, 8.558073997497559, -1.64794921875, 10.7421875, -0.1220703125], [-2.584540843963623, 2.2810757160186768, 8.476072311401367, -2.38037109375, 7.080078125, -0.244140625], [-2.433706045150757, 2.344521999359131, 8.523956298828125, -6.04248046875, 3.96728515625, 1.46484375], [-2.072780132293701, 2.5019407272338867, 8.622118949890137, -11.04736328125, 0.8544921875, 3.2958984375], [-1.6514005661010742, 2.6617536544799805, 8.887276649475098, -12.451171875, -2.50244140625, 5.43212890625], [-1.4724340438842773, 2.8119897842407227, 9.236231803894043, -9.6435546875, -3.7841796875, 7.14111328125], [-1.6956933736801147, 2.872443437576294, 9.583391189575195, -3.11279296875, -3.90625, 9.27734375], [-2.2619221210479736, 3.008913040161133, 10.057442665100098, -3.11279296875, -3.90625, 9.27734375], [-2.956839084625244, 3.3219549655914307, 10.45667552947998, 1.8310546875, 16.9677734375, 3.2958984375], [-3.5482068061828613, 3.7499184608459473, 9.188945770263672, -8.23974609375, 24.658203125, -4.57763671875], [-3.5482068061828613, 3.7499184608459473, 9.188945770263672, -9.82666015625, 23.74267578125, -10.3759765625], [-3.1453824043273926, 3.093907117843628, 7.3651628494262695, -3.173828125, 15.7470703125, -13.3056640625], [-2.810194253921509, 2.962824583053589, 7.395090579986572, 0.30517578125, 5.79833984375, -14.58740234375], [-2.409165382385254, 2.8886044025421143, 8.003816604614258, -1.3427734375, -1.3427734375, -14.34326171875], [-2.050035238265991, 2.759317398071289, 8.713098526000977, -1.89208984375, -5.18798828125, -11.29150390625], [-1.9752163887023926, 2.7988216876983643, 9.28531265258789, -1.52587890625, -9.033203125, -5.31005859375], [-2.081159830093384, 3.0992941856384277, 9.956886291503906, -2.5634765625, -12.451171875, -0.732421875], [-2.250549554824829, 3.2118215560913086, 10.694300651550293, -3.96728515625, -11.71875, 1.220703125], [-2.609081268310547, 2.9753942489624023, 11.027692794799805, -1.0986328125, -7.26318359375, 1.953125], [-2.9514522552490234, 2.589329242706299, 10.700884819030762, -1.0986328125, -0.48828125, 1.220703125], [-3.092111587524414, 2.2188265323638916, 9.939528465270996, -4.82177734375, 5.859375, -0.30517578125], [-3.178302764892578, 1.9333178997039795, 9.083600997924805, -7.50732421875, 10.43701171875, -1.708984375], [-3.310582399368286, 1.8237831592559814, 8.265382766723633, -10.1318359375, 12.02392578125, -2.8076171875], [-3.24414324760437, 1.92134690284729, 7.691372871398926, -14.83154296875, 9.27734375, -4.638671875], [-2.8832173347473145, 2.0638017654418945, 7.571662902832031, -12.451171875, 2.74658203125, -6.7138671875], [-2.559401512145996, 2.0901381969451904, 7.880515098571777, -6.04248046875, -5.615234375, -7.99560546875], [-2.3995885848999023, 2.0225019454956055, 8.483255386352539, 0.9765625, -13.0615234375, -4.82177734375], [-2.3044190406799316, 1.9800047874450684, 9.23682975769043, 0.9765625, -13.0615234375, -4.82177734375], [-2.2816741466522217, 1.8148049116134644, 10.095151901245117, 11.71875, -15.56396484375, 2.25830078125], [-2.457049608230591, 1.2372037172317505, 10.828375816345215, 10.68115234375, -5.06591796875, 5.67626953125], [-2.457049608230591, 1.2372037172317505, 10.828375816345215, 3.23486328125, 7.2021484375, 6.9580078125], [-3.138199806213379, 0.8427590131759644, 9.282918930053711, 1.28173828125, 16.54052734375, 8.544921875], [-3.087921619415283, 1.115697979927063, 8.102577209472656, -5.67626953125, 19.47021484375, 8.72802734375], [-2.8999767303466797, 1.732803463935852, 7.365761756896973, -14.0380859375, 15.380859375, 4.82177734375], [-2.5995044708251953, 2.1080946922302246, 7.296928405761719, -10.80322265625, 7.26318359375, -1.953125], [-2.1954829692840576, 2.1715409755706787, 7.784148216247559, 4.5166015625, -3.60107421875, -8.60595703125], [-1.9476830959320068, 1.8309657573699951, 8.743025779724121, 17.27294921875, -12.3291015625, -13.427734375], [-1.8938134908676147, 1.40180504322052, 9.956287384033203, 20.3857421875, -15.2587890625, -12.451171875], [-1.8531121015548706, 1.414973258972168, 11.023503303527832, 15.68603515625, -10.498046875, -8.30078125], [-2.0171148777008057, 1.656787633895874, 11.547833442687988, 16.357421875, -1.46484375, -5.0048828125], [-2.363077163696289, 1.854907751083374, 11.438298225402832, 17.333984375, 9.33837890625, -3.72314453125], [-2.7275943756103516, 1.86508309841156, 10.746973037719727, 16.54052734375, 20.69091796875, -3.47900390625], [-3.162141799926758, 1.9207483530044556, 9.55705451965332, 14.34326171875, 28.1982421875, -2.5634765625], [-3.532644510269165, 2.094327926635742, 8.290521621704102, 8.48388671875, 29.11376953125, -2.86865234375], [-3.6798880100250244, 2.1589713096618652, 7.394492149353027, 8.7890625, 21.8505859375, -3.84521484375], [-3.6589386463165283, 2.22660756111145, 7.235876083374023, 13.48876953125, 7.87353515625, -4.2724609375], [-3.469198226928711, 2.296638011932373, 7.97329044342041, 16.41845703125, -10.3759765625, -4.21142578125], [-3.116053581237793, 2.3313539028167725, 9.053074836730957, 22.76611328125, -11.16943359375, -3.5400390625], [-2.7880477905273438, 2.433706045150757, 10.018536567687988, 19.47021484375, -6.9580078125, -2.62451171875], [-2.6420016288757324, 2.187103271484375, 11.112088203430176, 22.03369140625, -0.1220703125, -0.30517578125], [-2.6420016288757324, 2.187103271484375, 11.112088203430176, 18.61572265625, 6.16455078125, 3.90625], [-2.8377275466918945, 1.9764134883880615, 10.097545623779297, 10.80322265625, 8.97216796875, 8.85009765625], [-2.896984100341797, 2.2385785579681396, 9.546280860900879, 3.72314453125, 8.7890625, 12.75634765625], [-2.8802247047424316, 2.7934348583221436, 9.351153373718262, -1.5869140625, 7.568359375, 12.14599609375], [-2.982576847076416, 3.2118215560913086, 9.439140319824219, 6.2255859375, 7.26318359375, 6.591796875], [-3.307589530944824, 3.4123358726501465, 9.469666481018066, 17.15087890625, 7.4462890625, -0.79345703125], [-3.623624324798584, 3.5212721824645996, 9.322422981262207, 21.728515625, 7.32421875, -7.38525390625], [-3.6768951416015625, 3.422511339187622, 9.151237487792969, 23.13232421875, 5.43212890625, -12.6953125], [-3.4841620922088623, 3.1950621604919434, 9.193734169006348, 25.69580078125, 1.5869140625, -15.07568359375], [-3.2321722507476807, 2.9724013805389404, 9.431957244873047, 26.06201171875, -1.15966796875, -15.7470703125], [-2.955641984939575, 2.6210522651672363, 9.673172950744629, 23.86474609375, -2.01416015625, -14.22119140625], [-2.6833014488220215, 2.31758713722229, 9.807249069213867, 23.681640625, -2.50244140625, -11.04736328125], [-2.5324668884277344, 2.318784236907959, 9.9185791015625, 21.240234375, -2.01416015625, -8.30078125]]",right
